name,review,rating,meta,ingredients,steps,cooks_note,editors_note,nutrition_facts,url
easy beer batter,"This beer batter recipe is not complicated. It calls for just 2 ingredients: beer and self-rising flour. The beer should be cold, and don't sift the flour or over-whisk the batter — a few lumps make for a better texture. Choose the correct beer according to what fish you will fry as beer ranges in flavor. You can add spices to the batter, such as paprika, if you like.",4.9,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '5 mins', 'yield': None}",[],[],unknown,"To fry fish and vegetables: Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C). Working in batches, lower fish or vegetables into beer batter to coat, then into hot oil; cook until golden brown. Drain on paper towels and season with salt to taste.","{'Calories': '260', 'Carbs': '50g', 'Fat': '1g', 'Protein': '7g'}",https://www.allrecipes.com/recipe/236101/easy-beer-batter/
slow-cooker chicken tortilla soup,"This crockpot tortilla soup tastes better than anything you can get at a restaurant. It's healthy, too! Don't let the long list of ingredients fool you. All you do is dump everything into the slow cooker and walk away. Garnish with grated Cheddar, avocados, and a splash of fresh lime juice.",4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '3 hrs', 'cool_time': None, 'fry_time': None, 'prep_time': '30 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '3 hrs 30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '262', 'Carbs': '25g', 'Fat': '11g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/89539/slow-cooker-chicken-tortilla-soup/
best beer can chicken,Two whole chickens are seasoned with a delicious smoky spice rub then grilled on beer cans. I tried recipes and changed the ingredients up until I found one the whole family loves!!,4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '1 hr 30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '25 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '1 hr 55 mins', 'yield': None}",[],[],"Check the chickens after an hour on the grill, if they are beginning to brown too much, loosely cover the tops of the birds with aluminum foil and continue to cook with the lid closed.",unknown,"{'Calories': '627', 'Carbs': '23g', 'Fat': '33g', 'Protein': '53g'}",https://www.allrecipes.com/recipe/214619/bbq-beer-can-chicken/
curry stand chicken tikka masala sauce,"A tikka masala sauce from a classic curry-stand recipe. This is not haute cuisine; it's the kind of nuclear-orange tikka masala you crave when you stumble out of a pub at 2 a.m. I make vast quantities of this sauce at one time as it freezes well. I also use more cayenne pepper than 1 teaspoon, but I give out the recipe like this for people who don't like heat.",4.9,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '1 hr 5 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '1 hr 20 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '328', 'Carbs': '13g', 'Fat': '23g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/228293/curry-stand-chicken-tikka-masala-sauce/
pizza on the grill,"Pizza on the grill is a fantastic way to make pizza at home. The heat of a hot grill is a perfect match for a professional pizza oven. Learn the tricks for making and grilling pizza from scratch with this recipe. Feel free to use your favorite toppings, but keep in mind not to overload the pizza.",4.8,"{'active_time': None, 'additional_time': '2 hrs', 'bake_time': None, 'cook_time': '15 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '45 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '3 hrs', 'yield': '2 pizzas'}",[],[],unknown,unknown,"{'Calories': '212', 'Carbs': '22g', 'Fat': '11g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/14522/pizza-on-the-grill-i/
puerto rican canned corned beef stew,"This stew recipe is simple, easy, and quick with corned beef in a can and other common pantry items. The end result is delicious and satisfying. Serve it over white rice with sweet fried plantains on the side.",4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '25 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '354', 'Carbs': '15g', 'Fat': '21g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/246392/puerto-rican-canned-corned-beef-stew/
tortilla española,"I make this Spanish tortilla recipe all the time at home. My boyfriend's family is Spanish, and he loves this dish. It's easy to prepare and always a crowd-pleaser. Traditionally, this dish uses only onions, potatoes, and egg; however, I like to add a little green, either parsley or chives.",4.6,"{'active_time': None, 'additional_time': '5 mins', 'bake_time': None, 'cook_time': '25 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '50 mins', 'yield': None}",[],[],You can use chives instead of parsley.,unknown,"{'Calories': '340', 'Carbs': '37g', 'Fat': '16g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/213226/tortilla-espanola/
fruit and yogurt smoothie,This yogurt smoothie recipe is delicious! You may substitute the strawberries for any other berries or fruit.,4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '2', 'soak_time': None, 'total_time': '5 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '146', 'Carbs': '31g', 'Fat': '1g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/
spanish omelette,A Spanish omelette is made with tender fried potatoes and onions cooked with eggs for a hearty meal or delicious tapa dish that everyone will enjoy. ,4.6,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '50 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '252', 'Carbs': '11g', 'Fat': '22g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/20198/spanish-potato-omelet/
shrimp chow mein,"This shrimp chow mein is delicious — it tastes just like takeout! The flavors are spot-on, the vegetables are slightly crunchy, and the sauce is light but enough to coat the noodles, veggies, and shrimp.",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '15 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '35 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '477', 'Carbs': '44g', 'Fat': '23g', 'Protein': '25g'}",https://www.allrecipes.com/recipe/285627/shrimp-chow-mein/
easy chicken primavera,"This chicken Primavera is easy to make with seasoned chicken breasts, mixed veggies, tomatoes, and pesto. It's delicious and versatile, so use ingredients to suit your taste. Great served over noodles, spaetzle, mashed potatoes, or rice! ",4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '20 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '302', 'Carbs': '19g', 'Fat': '13g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/274784/easy-skillet-chicken-primavera/
tortilla española (spanish tortilla),"Tortilla Española is a potato and onion omelette. It's a classic tapas dish, prepared all over Spain. This version also includes roasted red peppers and Spanish Serrano ham. Unlike most omelettes, a Spanish tortilla is served at room temperature.",4.7,"{'active_time': None, 'additional_time': '1 hr', 'bake_time': None, 'cook_time': '45 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '35 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '2 hrs 20 mins', 'yield': '1 Spanish tortilla'}",[],[],unknown,unknown,"{'Calories': '477', 'Carbs': '36g', 'Fat': '32g', 'Protein': '13g'}",https://www.allrecipes.com/recipe/147109/tortilla-espanola-spanish-tortilla/
tortilla de patatas,"Tortilla de patatas is a Spanish omelette made from thinly sliced potatoes and onions, cooked in olive oil, and bound with a simple egg mixture. Serve warm or at room temperature for a delicious tapa or appetizer. ",5.0,"{'active_time': None, 'additional_time': '5 mins', 'bake_time': None, 'cook_time': '20 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '45 mins', 'yield': None}",[],[],unknown,Nutrition data for this recipe includes the full amount of olive oil The actual amount of olive oil consumed will vary.,"{'Calories': '439', 'Carbs': '15g', 'Fat': '40g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/285671/tortilla-de-patatas/
chicken katsu curry,"This katsu chicken curry was introduced to Japan by the British more than a century ago and has become a favorite dish to make at home. This recipe combines a rich curry sauce with a crispy, fried chicken cutlet. Serve with steamed Japanese rice, red and yellow daikon pickles, tonkatsu sauce, soft-boiled eggs, and Japanese 7-spice seasoning.",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '1 hr 15 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '1 hr 30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '613', 'Carbs': '79g', 'Fat': '18g', 'Protein': '42g'}",https://www.allrecipes.com/recipe/282973/chicken-katsu-curry/
oreo cheesecake,This Oreo cheesecake is easy to prepare and a great dessert to bring to your next get-together.,4.6,"{'active_time': None, 'additional_time': '3 hrs', 'bake_time': None, 'cook_time': '45 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '4 hrs', 'yield': '1 (9-inch) cheesecake'}",[],[],unknown,unknown,"{'Calories': '386', 'Carbs': '33g', 'Fat': '27g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/180603/easy-philly-oreo-cheesecake/
copycat v8 juice,"This V8 drink recipe is made with tomatoes, celery, onion, pepper, beet, carrot, and garlic. This vegetable juice cocktail tastes even better than the store-bought version!",4.1,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '55 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '1 hr 15 mins', 'yield': '1 quart'}",[],[],unknown,unknown,"{'Calories': '61', 'Carbs': '14g', 'Fat': '0g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/235433/copycat-v8-juice/
vietnamese grilled lemongrass chicken,"This lemongrass chicken is marinated, then grilled until juicy and tender. Garnish with rice paper, lettuce, cucumber, bean sprouts, mint, and ground peanuts.",4.6,"{'active_time': None, 'additional_time': '20 mins', 'bake_time': None, 'cook_time': '10 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '40 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '308', 'Carbs': '4g', 'Fat': '19g', 'Protein': '29g'}",https://www.allrecipes.com/recipe/241607/vietnamese-grilled-lemongrass-chicken/
the best caramel apples,"This amazing caramel apple recipe was given to me by a close friend when I was searching for a recipe to make homemade caramel apples for the very first time. My family and friends loved these delicious treats! Sprinkle with nuts or whatever you desire while the caramel is still warm, but work quickly as the caramel sets very fast.",4.5,"{'active_time': None, 'additional_time': '1 hr 30 mins', 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '2 hrs 15 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '799', 'Carbs': '142g', 'Fat': '28g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/
buttery cinnamon cake,"This cinnamon cake topped with warm cinnamon syrup is the best I've ever made. Every time I serve it, the compliments never end.",4.2,"{'active_time': None, 'additional_time': '20 mins', 'bake_time': None, 'cook_time': '45 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '30 mins', 'rest_time': None, 'servings': '14', 'soak_time': None, 'total_time': '1 hr 35 mins', 'yield': '1 10-inch bundt cake'}",[],[],unknown,unknown,"{'Calories': '321', 'Carbs': '41g', 'Fat': '16g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/7540/buttery-cinnamon-cake/
peanut clusters,This recipe for chocolate peanut clusters is very easy to make with just three ingredients. Drizzle with white chocolate for a great holiday gift!,4.6,"{'active_time': None, 'additional_time': '30 mins', 'bake_time': None, 'cook_time': '5 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '36', 'soak_time': None, 'total_time': '45 mins', 'yield': '3 dozen'}",[],[],You can use roasted salted peanuts if you prefer a more salty-sweet flavor.,unknown,"{'Calories': '150', 'Carbs': '12g', 'Fat': '10g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/16281/peanut-clusters/
'chinese buffet' green beans,"These Chinese green beans are a simple and tasty re-creation of the much-loved side dish that goes well with any Asian meal. Every time my family and I go to a Chinese buffet, we make a beeline for the green beans! Make sure to slice the garlic; don't use a garlic press. Oyster sauce can be found in the Asian section of your grocery store, at an Asian grocery store, and online.",4.5,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '10 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '25 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '55', 'Carbs': '8g', 'Fat': '2g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/158854/chinese-buffet-green-beans/
yummy honey mustard dipping sauce,"This honey mustard recipe is the perfect blend of two mustards with a wonderful hint of honey for a deliciously creamy, sweet and tangy dipping sauce.",4.9,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '5 mins', 'yield': '3/4 cup'}",[],[],unknown,unknown,"{'Calories': '159', 'Carbs': '7g', 'Fat': '15g', 'Protein': '0g'}",https://www.allrecipes.com/recipe/173697/yummy-honey-mustard-dipping-sauce/
easy chocolate haystacks,Chocolate haystacks are a quick and easy chocolate-fix that kids and adults love! It's easy to play around with the ingredients to suit. My family has been making it for years and it's still a favorite! ,4.8,"{'active_time': None, 'additional_time': '15 mins', 'bake_time': None, 'cook_time': '5 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '35 mins', 'yield': None}",[],[],Ingredients can be switched up with great results. It's also great with white chocolate and cranberries or crushed peppermints. You can use any nuts in place of the almonds.,unknown,"{'Calories': '315', 'Carbs': '37g', 'Fat': '19g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/236971/easy-chocolate-haystacks/
lemon garlic salmon,"Fresh salmon needs very little preparation. These salmon fillets are cooked in good, sweet butter with minced garlic, then sprinkled with a little lemon juice. If you'd like a little more kick and a fancy presentation, caramelize onions and serve them atop the cooked salmon.",4.4,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '25 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '2', 'soak_time': None, 'total_time': '30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '323', 'Carbs': '7g', 'Fat': '24g', 'Protein': '23g'}",https://www.allrecipes.com/recipe/12727/lemon-garlic-salmon/
sauteed cabbage and apples,This sauteed red cabbage makes a very elegant side dish. Very budget-friendly too.,4.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '25 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '40 mins', 'yield': '4 servings'}",[],[],unknown,unknown,"{'Calories': '130', 'Carbs': '17g', 'Fat': '6g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/282639/sauteed-cabbage-and-apples/
bacon and cranberry bean ragout,This cranberry beans recipe makes a rustic and deeply satisfying bacon and cranberry bean ragout. It makes a stellar side dish to pretty much anything coming off your late summer grill.,4.4,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '45 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '273', 'Carbs': '34g', 'Fat': '9g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/228644/bacon-and-cranberry-bean-ragout/
rye bread party pizzas,"Very easy rye bread party pizzas — my family expects them every New Year's Eve! This recipe uses plenty of melted cheese, a little Worcestershire sauce, and some ketchup, all mixed with beef and sausage. Perfect for preparing ahead and freezing!",4.5,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '15 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '15', 'soak_time': None, 'total_time': '35 mins', 'yield': '45 rye bread pizzas'}",[],[],unknown,unknown,"{'Calories': '193', 'Carbs': '2g', 'Fat': '17g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/25531/rye-bread-party-pizzas/
honey mustard dressing,This honey mustard dressing recipe is very old but very good and easy to whip up with just 4 ingredients for a delicious salad dressing.,4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '3', 'soak_time': None, 'total_time': '5 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '157', 'Carbs': '7g', 'Fat': '15g', 'Protein': '0g'}",https://www.allrecipes.com/recipe/16129/honey-mustard-dressing-ii/
pesto pasta with chicken,"This chicken pesto pasta is easy and delicious. Serve with crusty bread and salad for a quick dinner. Use as much or as little pesto sauce as you like. Using homemade pesto will taste even better, but it adds to prep time. Enjoy!",4.5,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '20 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '328', 'Carbs': '43g', 'Fat': '10g', 'Protein': '17g'}",https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/
boilermaker tailgate chili,This boilermaker chili is the one the gang eats at Purdue Boilermaker football games. I always prep and cook the chili the night before and then reheat it the next day. This is a combination of many different tomato-based chili recipes.,4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '2 hrs', 'cool_time': None, 'fry_time': None, 'prep_time': '30 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '2 hrs 30 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '600', 'Carbs': '55g', 'Fat': '30g', 'Protein': '31g'}",https://www.allrecipes.com/recipe/78299/boilermaker-tailgate-chili/
